Company Name,Tags,Phone,Address
Yuen Fat Hong Co Ltd,石油經銷商, 2326 3570,"46 Tsui Fung St, Wong Tai Sin"
中國航油(香港)有限公司,石油經銷商, 2802 0025,灣仔 會展廣場
仁信光明石油有限公司,石油經銷商, 2540 1321,西營盤 湀昌大廈
香港液體氣(集團)有限公司,石油經銷商, 2384 6193,油麻地 新光商業大廈
振戎國際石油有限公司,石油經銷商, 2528 1068,灣仔 鷹君中心
China Ocean Fuel Oil (HK) Co Ltd,石油經銷商, 2540 7999,"Fu Lee Coml Bldg, Yau Ma Tei"
HK Huaxin Petroleum Ltd,石油經銷商, 2915 8999,"Wah Fu, Wah Fu"
Xylem Oil (China) Ltd,石油經銷商, 2891 2183,"132 Wai Yip St, Kwun Tong"
力生石油有限公司,石油經銷商, 2476 1822,元朗 Kin On Bldg
大興行,石油經銷商, 2850 8518,香港仔 四喜大廈
永高石油化工(中港)有限公司,石油經銷商, 2944 6630,元朗 豪景商業大廈
汽車駕駛教授商會有限公司 ,石油經銷商, 2380 1222,何文田 
協和石油產品有限公司,石油經銷商, 2677 5588,粉嶺 利亨中心
Yau Sang Engrg Co,煤氣及石油氣工程, 2605 9887,"Yip On Fty Est, Kowloon Bay"
利時氣體工程有限公司,煤氣及石油氣工程, 2481 7040,長沙灣 福至工業大廈
海隆控股有限公司,煤氣及石油氣工程, (8621) 3385 1886,中區 皇后大道中15號置地廣場告羅士打大廈9樓
偉業氣體工程有限公司,煤氣及石油氣工程, 2355 7086,土瓜灣 環凱廣場
基迅(國際)工程有限公司,煤氣及石油氣工程, 2667 4030,長沙灣 宏昌工廠大廈
惠新工程有限公司,煤氣及石油氣工程, 2637 5121,沙田 沙田工業中心
International Engrg Co,煤氣及石油氣工程, 2604 3827,"Leader Ind Centre, Sha Tin"
Wah Kee Gas Engrg Ltd,煤氣及石油氣工程, 2719 8393,"50 See Cheung St, Sai Kung"
方記氣體工程有限公司,煤氣及石油氣工程, 2690 3200,沙田 穗輝工廠大廈
永輝工程公司,煤氣及石油氣工程, 2775 1577,牛頭角 百富閣
合群石油工程有限公司,煤氣及石油氣工程, 2492 6236,荃灣 嘉力工業中心
金碧煤氣工程公司,煤氣及石油氣工程, 2493 9582,荃灣 裕豐工業大廈
野川玻璃纖維有限公司,"玻璃纖維製品,fibreglass,frp,Water Tank,水缸,玻璃纖維", 2477 0883,元朗 洪水橋和平新村20號地下
冠威玻璃纖維工程公司,"玻璃纖維製品,Fibreglass Products,Guard House,更亭,招牌", 2554 2299,黃竹坑 黃竹坑道49-51號得力工業大廈14樓E座
Asian Pac Glassfibre Co,玻璃纖維製品, 2479 5322,"Tong Yan San Tsuen, Yuen Long"
永楷玻璃纖維製品有限公司,玻璃纖維製品, 2472 5172,元朗 唐人新村
帆風彫塑模型有限公司,玻璃纖維製品, 2391 3736,荃灣 立泰工業中心
明新玻璃纖維工程(國際)有限公司,玻璃纖維製品, 2787 5717,新蒲崗 新時代工貿商業中心
飛域貿易公司,玻璃纖維製品, 2792 4199,黃大仙 發達樓
Eri Co,玻璃纖維製品, 2443 2862,"Tong Yan San Tsuen, Yuen Long"
Lok Seng Yin Ivan,玻璃纖維製品, 2477 0883,"Wo Ping San Tsuen, Yuen Long"
中華玻璃纖維製品有限公司,玻璃纖維製品, 2670 3877,上水 古洞
太平玻璃纖維製品公司,玻璃纖維製品, 2475 0145,元朗 水蕉新村
宇光玻璃纖維製品有限公司,玻璃纖維製品, 2547 2168,觀塘 新城工商中心
百運工程有限公司,玻璃纖維製品, 2456 3963,屯門 紫田村
進達貿易有限公司,"紙巾及餐巾,紙類製品,環保紙,Napkin,tissue,Toilet Paper", 2687 2966,沙田 火炭山尾街31-41號華樂工業中心B座21字樓28室
綜合環保集團有限公司,環保紙, 2676 8700,粉嶺 居適街3號福和集團大廈5樓
Best Enrich Petroleum & Chemical Ltd,石油產品, 2297 3100,"Asia Trade Centre, Kwai Chung"
Chivin Petroleum Co Ltd,石油產品, 2305 5109,"Tin Liu Tsuen, Yuen Long"
Kwong Ming Hong,石油產品, 2366 9858,"Rose Bldg, Tsim Sha Tsui"
Luen Hop Hong (HK) Petroleum Ltd,石油產品, 2560 6203,"Hung Lee Bldg, Shau Kei Wan"
Win Capital Investments Ltd,石油產品, 3551 9666,"118 Connaught Rd W, Sai Ying Pun"
大益陳氏有限公司,石油產品, 2546 6275,西營盤 德東樓
中石化(香港)有限公司,石油產品, 2863 8000,灣仔 會展廣場
中石化冠德控股有限公司,石油產品, 2824 2638,灣仔 港灣道1號會議展覽中心辦公大樓20樓
中亞石油化工(集團)有限公司,石油產品, 2577 7068,北角 科匯中心
